기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2019,성북구,1509,8,2007,1325,85,95,0,3,1,81.42,18505,454744,89,92,370,381,335,340,125,131,152
2019,강북구,1277,7,1706,1034,162,80,0,1,0,78.66,13462,317695,79,87,317,314,292,305,90,111,118
2019,도봉구,852,4,1163,743,53,55,0,1,0,81.71,16245,335631,62,93,179,156,189,210,83,76,119
2019,노원구,1703,8,2302,1518,70,111,0,3,1,78.94,15162,537303,101,164,371,373,414,441,132,150,163
2019,은평구,1119,7,1464,1018,28,65,1,5,2,81.21,16308,484546,80,61,203,212,264,289,107,101,154
2019,서대문구,1113,14,1609,962,81,59,0,2,9,78.58,18335,323171,65,89,310,282,260,279,110,105,123
2019,마포구,1494,7,2123,1295,48,96,0,5,39.5,81.59,16180,385925,62,120,538,431,308,325,135,106,101
2019,양천구,1506,11,2085,1369,57,78,0,1,1,79.44,26559,462285,110,114,370,375,378,361,137,119,131
2019,강서구,1829,20,2491,1554,120,110,0,6,39,75.36,14438,598273,127,117,472,500,406,436,162,147,144
2019,구로구,1529,13,2096,1353,32,92,0,1,39.5,76.28,21837,439371,103,101,357,419,347,399,142,103,137
2019,금천구,920,9,1353,821,43,54,0,1,1,79.99,19341,251820,38,69,269,250,241,259,85,74,77
2019,영등포구,2439,11,3451,2201.75,54,133,0,9,3,73.98,16334,400986,116,170,673,676,562,646,242,177.5,173
2019,동작구,1406,5,2021,1282,35,85,0,3,1,79.56,25003,408912,69,124,413,417,315,335,128,101,124
2019,관악구,1363,10,1755,1175,34,96,0,4,39.5,80.75,17496,517334,52,63,435,343,282,293,86,90,117
2019,서초구,2418,14,3529.5,2201.75,56,117,0,3,31,77.35,9261,435107,105,117,716.5,686.5,663,575,185,175,138
2019,강남구,2506.25,14,3529.5,2201.75,97,206,1,1,39.5,71.33,13929,550209,153,188,716.5,686.5,690.75,664.25,290,177.5,161
2019,송파구,2506.25,13,3529.5,2201.75,65,139,1,1,29,73.37,20156,682741,198,170,716.5,686.5,690.75,664.25,246,177.5,189
2019,강동구,1414,11,1910,1222,89,98,0,3,2,77.77,17909,440390,95,65,298,326,310,382,147,152,146
2020,종로구,903,5,1224,804,28,67,0,2,2,79.78,6649,158996,22,25,259,245,220,227,76,65,90
2020,중구,955,6,1248,820,66,66,0,0,3,75.2,13517,134635,15,34,248,294,183,235,80,79,86
2020,용산구,890,12,1178,804,25,48,0,1,12,79.97,11188,244645,30,38,268,292,191,198,72,54,47
2020,성동구,1119,9,1481,1016,25,77,0,1,0,78.71,17822,300505,27,63,343,305,265,231,91,79,86
2020,광진구,869,4,1145,795,25,49,0,0,0,83,21105,360109,28,70,303,215,196,178,51,54,54
2020,동대문구,1448,10,1845,1230,97,88,0,2,31,77.07,25114,357014,43,85,363,341,295,307,121,132,168
2020,중랑구,1447,4,1952,1277,41,93,0,1,35,79.16,21603,399562,73,81,365,348,276,412,138,133,130
2020,성북구,1275,7,1622,1118,56,96,0,2,3,81.98,18190,447056,42,53,345,302,284,293,89,86,135
2020,강북구,1087,3,1420,938,53,88,0,3,5,81.46,13202,311569,47,92,292,264,208,251,98,84,87
2020,도봉구,741,7,990,618,54,66,0,2,1,81.56,15852,327361,24,40,177,153,150,187,95,69,102
2020,노원구,1462,5,2016,1273,77,105,0,5,2,78.86,14872,527032,79,111,388,339,352,357,134,126,135
2020,은평구,953,14,1415,828,35,83,0,4,3,78.76,16292,484043,51,78,271,239,214,272,97,83,124
2020,서대문구,928,6,1256,808,63,55,0,0,2,80.33,18322,322952,48,72,232,248,213,223,81,56,87
2020,마포구,1272,13,1754,1115,53,95,0,3,6,79.48,16011,381858,50,74,453,400,292,268,71,80,78
2020,양천구,1344,7,1829,1212,42,82,0,2,6,80.43,26301,457781,68,89,386,350,332,286,116,104,105
2020,강서구,1575,17,2131,1367,51,112,0,2,39.5,75.53,14140,585901,63,118,423,461,359,350,123,128,123
2020,구로구,1325,10,1810,1180,45,93,0,1,6,78.13,21496,432488,44,84,336,353,334,339,116,109,105
2020,금천구,810,6,1084,698,50,58,0,0,4,81.25,19035,247835,27,55,236,210,175,176,74,70,67
2020,영등포구,2208,7,3102,1984,55,162,0,3,4,75.22,16595,407367,68,162,656,660,521,517,204,176,145
2020,동작구,1307,10,1819,1152,36,112,0,3,4,78.71,24555,401572,33,94,419,352,294,315,115,99,108
2020,관악구,1444,13,1819,1128,89,99,0,5,39.5,77.93,17241,509803,43,89,458,367,282,276,97,112,108
2020,서초구,2250,9,3075,2020,61,136,0,5,28,77.1,9132,429025,64,110,661,686.5,573,512,154,165,104
2020,강남구,2506.25,17,3529.5,2201.75,128,221.5,0,6,39.5,68.95,13773,544055,118,169,716.5,686.5,690.75,664.25,239,177.5,156
2020,송파구,2506.25,11,3509,2201.75,59,164,0,4,12,73.62,19896,673926,118,167,675,686.5,594,610,220,177.5,158
2020,강동구,1268,7,1600,1133,39,94,1,1,0,78.63,18869,463998,51,80,282,326,240,299,123,97,109
