기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2012,성동구,986,6,1400,846,27,73,0,15,25,83.5,18214,306868,41,102,268,337,244,256,47,56,55
2012,광진구,1494,17,2190,1255,78,114,0,15,32,79.3,22520,384269,78,150,543,422,414,366,84,80,70
2012,동대문구,1881,20,2511,1589,121,156,0,15,0,73.9,26453,375683,71,194,451,447,477,511,122,132,126
2012,중랑구,1753,11,2401,1507,102,125,0,16,3,77.6,22904,423655,106,234,401,389,461,491,102,115,113
2012,성북구,1572,11,2055,1322,75,153,0,15,7,83.1,19968,490639,121,196,394,369,375,343,77,99,92
2012,강북구,1212,9,1680,997,84,114,2,15,0,80.4,14684,346493,76,172,311,292,313,299,82,77,67
2012,도봉구,983,16,1294,837,32,87,0,8,19,80.1,17605,364454,71,129,189,195,243,276,77,59,71
2012,노원구,1623,13,2330,1367,109,135,0,11,1,80.3,16955,600829,125,273,356,405,451,457,87,92,97
2012,은평구,1519,21,2197,1261,104,117,2,15,20,82,17035,505902,140,264,359,333,392,396,96,127,111
2012,서대문구,1041,13,1645,912,43,74,0,11,1,84.3,18444,324733,60,124,320,315,312,324,67,68,68
2012,마포구,1561,23,2363,1286,128,123,2,17,5,76.9,16511,393576,88,202,536,546,420,370,72,86,66
2012,양천구,1418,14,2036,1136,96,153,0,17,16,84.8,28769,500533,112,222,317,357,427,399,79,65,72
2012,강서구,1767,25,2573,1537,88,117,1,19,5,80.7,13851,573794,106,232,441,487,564,472,107,114,75
2012,구로구,1582,21,2366,1354,79,136,0,7,6,78.9,22589,454478,132,206,416,477,473,411,97,90,85
2012,금천구,1017,21,1540,865,36,100,0,13,3,72.9,20055,260734,73,144,274,286,309,312,58,59,46
2012,영등포구,2179,27.5,3206,1736,170,221.5,1,26.5,1,74.4,17386,426876,102,188,612,686.5,621,647,134,121,113
2012,동작구,1258,14,1707,1082,45,112,0,15,4,81.2,25456,416268,53,121,389,358,317,286,64,86,47
2012,관악구,1713,20,2299,1478,72,138,0,16,9,79.8,18280,540520,86,203,510,443,383,416,91,96,91
2012,서초구,2090,25,3214,1795,80,191,0,22,2,77.8,9361,439998,102,120,712,686.5,663,551,132,106,75
2012,강남구,2506.25,25,3529.5,2201.75,122,221.5,2,26.5,39.5,73.6,14431,569997,148,235,716.5,686.5,690.75,664.25,191,175,84
2012,송파구,2506.25,14,3529.5,2201.75,103,185,3,26.5,15,82,20078,680150,206.25,322.25,710,686.5,690.75,664.25,151,164,115
2012,강동구,1458,18,2029,1244,62,126,0,13,13,79.7,20042,492728,120,166,350,366,377,402,84,98,84
